input,output,reaction,name,schemaClass,module
R-ALL-74112,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-166718,R-HSA-8852493,R-HSA-8852509,CL-LK binds carbohydrates on target cell surface,Reaction,Immune System
R-HSA-8852513,R-HSA-8852493,R-HSA-8852509,CL-LK binds carbohydrates on target cell surface,Reaction,Immune System
R-ALL-74112,R-HSA-8852493,R-HSA-8852509,CL-LK binds carbohydrates on target cell surface,Reaction,Immune System
R-HSA-2855100,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-2855095,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-1006168,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-2855066,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-ALL-74112,R-HSA-2855134,R-HSA-2855125,Ficolin-1 binds to molecular patterns on the target cell surface,Reaction,Immune System
R-HSA-2855122,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855088,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855066,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-74112,R-HSA-2855093,R-HSA-2855077,Ficolin-3 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-HSA-981643,R-HSA-981716,R-HSA-981713,C4b binds to cell surface,Reaction,Immune System
R-HSA-981722,R-HSA-981716,R-HSA-981713,C4b binds to cell surface,Reaction,Immune System
R-ALL-983438,R-HSA-981716,R-HSA-981713,C4b binds to cell surface,Reaction,Immune System
R-HSA-166732,R-HSA-981643,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-166732,R-HSA-981722,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-166732,C4B,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-166732,C4A,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,R-HSA-981643,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,R-HSA-981722,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,C4B,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-981727,C4A,R-HSA-166753,Conversion of C4 into C4a and C4b,Reaction,Immune System
R-HSA-173619,R-HSA-173618,R-HSA-173631,Activation of C1s,Reaction,Immune System
R-HSA-173582,R-HSA-173619,R-HSA-173626,Activation of C1r,Reaction,Immune System
R-HSA-976769,R-HSA-173619,R-HSA-977428,Positive regulation by 'C-reactive protein pentamer:phosphocholine:C1Q [extracellular region]',PositiveRegulation,Immune System
C5,R-HSA-375354,R-HSA-375395,C5a receptor binds C5a anaphylatoxin,Reaction,Immune System
C5AR1,R-HSA-375354,R-HSA-375395,C5a receptor binds C5a anaphylatoxin,Reaction,Immune System
R-HSA-173676,C5,R-HSA-173680,Activation of C5,Reaction,Immune System
R-HSA-173676,R-HSA-173671,R-HSA-173680,Activation of C5,Reaction,Immune System
R-HSA-981542,R-HSA-173635,R-HSA-173636,Formation of classic pathway C5 convertase,Reaction,Immune System
R-HSA-166784,R-HSA-173635,R-HSA-173636,Formation of classic pathway C5 convertase,Reaction,Immune System
R-ALL-179856,R-ALL-114519,R-HSA-1112666,"BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate",Reaction,Immune System
R-HSA-9606153,R-HSA-984818,R-HSA-9606162,Phosphorylated BTK phosphorylates PLCG2,Reaction,Immune System
R-HSA-9606153,R-ALL-29370,R-HSA-9606162,Phosphorylated BTK phosphorylates PLCG2,Reaction,Immune System
R-ALL-113592,R-HSA-984818,R-HSA-9606162,Phosphorylated BTK phosphorylates PLCG2,Reaction,Immune System
R-ALL-113592,R-HSA-9606153,R-HSA-9606159,BTK autophosphorylates,Reaction,Immune System
R-HSA-9606149,R-HSA-9606153,R-HSA-9606159,BTK autophosphorylates,Reaction,Immune System
R-HSA-9606149,R-ALL-29370,R-HSA-9606159,BTK autophosphorylates,Reaction,Immune System
R-ALL-113592,R-HSA-9606149,R-HSA-9606163,p-SYK and LYN phosphorylate BTK,BlackBoxEvent,Immune System
R-HSA-9606167,R-ALL-29370,R-HSA-9606163,p-SYK and LYN phosphorylate BTK,BlackBoxEvent,Immune System
R-HSA-9606167,R-HSA-9606149,R-HSA-9606163,p-SYK and LYN phosphorylate BTK,BlackBoxEvent,Immune System
BTK,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
R-ALL-179838,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
PLCG2,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
